,TournamentID,TournamentName,StartDate,EndDate,IsOver,IsInProgress,CourseName,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,tournamentName_Clean,tournamentName,courseName,courseLocation
471,33,World Golf Championships-Bridgestone Invitational,2015-08-06,2015-08-09,True,False,Firestone CC (South),"Akron, OH",70.0,7400.0,9250000.0,,False,True,,,,,,,,Full,WGC-Bridgestone Invitational,World Golf Championships-Bridgestone Invitational,Firestone CC (South Course),"Akron, OH"
472,40,Barracuda Championship,2015-08-06,2015-08-09,True,False,Montreux G&CC,"Reno, NV",72.0,7472.0,3100000.0,,False,True,,,,,,,,Full,Barracuda Championship,Barracuda Championship,Montreux G&CC,"Reno, NV"
473,47,Quicken Loans National,2015-07-30,2015-08-02,True,False,Robert Trent Jones GC,"Gainesville, VA",71.0,7385.0,6700000.0,,False,True,,,,,,,,Full,Quicken Loans National,Quicken Loans National,Robert Trent Jones Golf Club,"Gainesville, VA"
474,34,RBC Canadian Open,2015-07-23,2015-07-26,True,False,Glen Abbey GC,"Oakville,Ontario, Canada",72.0,7253.0,5800000.0,,False,True,,,,,,,,Full,RBC Canadian Open,RBC Canadian Open,Glen Abbey GC,"Oakville, ON"
475,30,The Open,2015-07-16,2015-07-20,True,False,St Andrews Links (Old Course),"Fife, Scotland",72.0,7297.0,9200000.0,,False,True,,,,,,,,Full,The Open Championship,The Open,St Andrews Links (Old Course),"St. Andrews, Scotland"
476,35,John Deere Classic,2015-07-09,2015-07-12,True,False,TPC Deere Run,"Silvis, IL",71.0,7268.0,4700000.0,,False,True,,,,,,,,Full,John Deere Classic,John Deere Classic,TPC Deere Run,"Silvis, IL"
477,49,The Greenbrier Classic,2015-07-02,2015-07-05,True,False,The Old White TPC,"White Sulphur Springs, WV",70.0,7287.0,6700000.0,,False,True,,,,,,,,Full,Greenbrier Classic,The Greenbrier Classic,The Old White Course,"White Sulphur Springs, WV"
478,28,Travelers Championship,2015-06-25,2015-06-28,True,False,TPC River Highlands,"Cromwell, CT",70.0,6841.0,6400000.0,,False,True,,,,,,,,Full,Travelers Championship,Travelers Championship,TPC River Highlands,"Cromwell, CT"
479,26,U.S. Open,2015-06-18,2015-06-21,True,False,Chambers Bay GC,"University Place, WA",70.0,7710.0,10000000.0,,False,True,,,,,,,,Full,U.S. Open,U.S. Open,Chambers Bay GC,"University Place, WA"
480,27,FedEx St. Jude Classic,2015-06-11,2015-06-14,True,False,TPC Southwind,"Memphis, TN",70.0,7239.0,6000000.0,,False,True,,,,,,,,Full,St. Jude Championship,FedEx St. Jude Classic,TPC Southwind,"Memphis, TN"
481,24,the Memorial Tournament presented by Nationwide,2015-06-04,2015-06-07,True,False,Muirfield Village GC,"Dublin, OH",72.0,7392.0,6200000.0,,False,True,,,,,,,,Full,Memorial Tournament,the Memorial Tournament presented by Nationwide,Muirfield Village Golf Club,"Dublin, OH"
